imdb_name_id,name,birth_name,height,bio,date_of_birth,place_of_birth,date_of_death,place_of_death,divorces,children
nm0000084,Li Gong,Li Gong,170,Born in Shenyang  grew up in Jinan  the daughter of an economics professor. Loved music from childhood  and dreamed of a singing career. After failing to gain entrance to China's top music school in 1985  applied for and was admitted to the Central Drama Academy in Beijing  from which she graduated in 1989. While still a student  was cast as the female lead in Sorgo rosso (1988)(aka "Red Sorghum")  the initial directing effort by Yimou Zhang. China's best-known actress in the West  she was named Best Actress at the 49th Venice International Film Festival for her role in La storia di Qiu Ju (1992) (aka "The Story of Qiu Ju"). Made a series of successful films with Yimou Zhang  a collaboration that apparently ended with the breakup of their personal relationship in 1995 and Gong's subsequent marriage to a tobacco company executive.,1965-12-31,Shenyang  Liaoning Province  China,,,1,0
nm0000087,Elena Koreneva,Elena Alekseevna Koreneva,,Elena Koreneva was born on October 3  1953 in Moscow  RSFSR  USSR as Elena Alekseevna Koreneva. She is an actress and casting director  known for Asya (1978)  Eyo zvali Mumu (2016) and Van Gogi (2018).,1953-10-03,Moscow  RSFSR  USSR [now Russia],,,1,0
nm0000088,Aleksey Korenev,Aleksey Aleksandrovich Korenev,,,1927-05-02,Moscow  RSFSR  USSR [now Russia],1995-02-26,Moscow  Russia,0,0
nm0000090,Armin Mueller-Stahl,Armin Mueller-Stahl,183,Armin Mueller-Stahl was born on December 17  1930 in Tilsit  East Prussia  Germany. He is an actor and director  known for La promessa dell'assassino (2007)  Shine (1996) and The International (2009). He has been married to Gabriele Scholz since 1973. They have one child. He was previously married to Monika Gabriel.,1930-12-17,Tilsit  East Prussia  Germany [now Sovetsk  Kaliningrad Oblast  Russia],,,1,1
nm0000092,John Cleese,John Marwood Cleese,196,John Cleese was born on October 27  1939  in Weston-Super-Mare  England  to Muriel Evelyn (Cross) and Reginald Francis Cleese. He was born into a family of modest means  his father being an insurance salesman; but he was nonetheless sent off to private schools to obtain a good education. Here he was often tormented for his height  having reached a height of six feet by the age of twelve  and eventually discovered that being humorous could deflect aggressive behavior in others. He loved humor in and of itself  collected jokes  and  like many young Britons who would grow up to be comedians  was devoted to the radio comedy show  "The Goon Show " starring the legendary Peter Sellers  Spike Milligan  and Harry Secombe.Cleese did well in both sports and academics  but his real love was comedy. He attended Cambridge to read (study) Law  but devoted a great deal of time to the university's legendary Footlights group  writing and performing in comedy reviews  often in collaboration with future fellow Python Graham Chapman. Several of these comedy reviews met with great success  including one in particular which toured under the name "Cambridge Circus." When Cleese graduated  he went on to write for the BBC  then rejoined Cambridge Circus in 1964  which toured New Zealand and America. He remained in America after leaving Cambridge Circus  performing and doing a little journalism  and here met Terry Gilliam  another future Python.Returning to England  he began appearing in a BBC radio series  "I'm Sorry  I'll Read That Again"  based on Cambridge Circus. It ran for several years and also starred future Goodies Tim Brooke-Taylor  Bill Oddie and Graeme Garden. He also appeared  briefly  with Brooke-Taylor  Graham Chapman and Marty Feldman in At Last the 1948 Show (1967)  for television  and a series of collaborations with some of the finest comedy-writing talent in England at the time  some of whom - Eric Idle  Terry Gilliam  Terry Jones  Michael Palin  and Chapman - eventually joined him in Monty Python. These programs included The Frost Report (1966) and Marty Feldman's program Marty (1968). Eventually  however  the writers were themselves collected to be the talent for their own program  Monty Python's Flying Circus (1969)  which displayed a strange and completely absorbing blend of low farce and high-concept absurdist humor  and remains influential to this day.After three seasons of the intensity of Monty Python  Cleese left the show  though he collaborated with one or more of the other Pythons for decades to come  including the Python movies released in the mid-70s to early 80s - Monty Python e il Sacro Graal (1975)  Brian di Nazareth (1979)  Monty Python Live at the Hollywood Bowl (1982)  and Monty Python - Il senso della vita (1983). Cleese and then-wife Connie Booth collaborated in the legendary television series Basil e Sybil (1975)  as the sharp-tongued  rude  bumbling yet somehow lovable proprietor of an English seaside hotel. Cleese based this character on a proprietor he had met while staying with the other Pythons at a hotel in Torquay  England. Only a dozen episodes were made  but each is truly hilarious  and he is still closely associated with the program to this day.Meanwhile Cleese had established a production company  Video Arts  for clever business training videos in which he generally starred  which were and continue to be enormously successful in the English-speaking world. He continues to act prolifically in movies  including in the hit comedy Un pesce di nome Wanda (1988)  in the Harry Potter series  and in the James Bond series as the new Q  starting with Il mondo non basta (1999)  in which he began as R before graduating to Q. Cleese also supplies his voice to numerous animated and video projects  and frequently does commercials.Besides the infamous Basil Fawlty character  Cleese's other well-known trademark is his rendition of an English upper-class toff. He has a daughter with Connie Booth and a daughter with his second wife  Barbara Trentham.Education and learning are important elements of his life - he was Rector of the University of Saint Andrews from 1973 until 1976  and continues to be a professor-at-large of Cornell University in New York. Cleese lives in Santa Barbara  California.,1939-10-27,Weston-Super-Mare  Somerset  England  UK,,,3,2
nm0000094,J. Reifel,J. Reifel,,,,,,,0,0
nm0000095,Woody Allen,Allan Stewart Konigsberg,165,Woody Allen was born Allan Stewart Konigsberg on December 1  1935 in Brooklyn  New York  to Nettie (Cherrie)  a bookkeeper  and Martin Konigsberg  a waiter and jewellery engraver. His father was of Russian Jewish descent  and his maternal grandparents were Austrian Jewish immigrants. As a young boy  he became intrigued with magic tricks and playing the clarinet  two hobbies that he continues today.Allen broke into show business at 15 years when he started writing jokes for a local paper  receiving $200 a week. He later moved on to write jokes for talk shows but felt that his jokes were being wasted. His agents  Charles Joffe and Jack Rollins  convinced him to start doing stand-up and telling his own jokes. Reluctantly he agreed and  although he initially performed with such fear of the audience that he would cover his ears when they applauded his jokes  he eventually became very successful at stand-up. After performing on stage for a few years  he was approached to write a script for Warren Beatty to star in: Ciao Pussycat (1965) and would also have a moderate role as a character in the film. During production  Woody gave himself more and better lines and left Beatty with less compelling dialogue. Beatty inevitably quit the project and was replaced by Peter Sellers  who demanded all the best lines and more screen-time.It was from this experience that Woody realized that he could not work on a film without complete control over its production. Woody's theoretical directorial debut was in Che fai  rubi? (1966); a Japanese spy flick that he dubbed over with his own comedic dialogue about spies searching for the secret recipe for egg salad. His real directorial debut came the next year in the mockumentary Prendi i soldi e scappa (1969). He has written  directed and  more often than not  starred in about a film a year ever since  while simultaneously writing more than a dozen plays and several books of comedy.While best known for his romantic comedies Io e Annie (1977) and Manhattan (1979)  Woody has made many transitions in his films throughout the years  transitioning from his "early  funny ones" of Il dittatore dello stato libero di Bananas (1971)  Amore e guerra (1975) and Tutto quello che avreste voluto sapere sul sesso ma non avete mai osato chiedere (1972); to his more storied and romantic comedies of Io e Annie (1977)  Manhattan (1979) and Hannah e le sue sorelle (1986); to the Bergmanesque films of Stardust Memories (1980) and Interiors (1978); and then on to the more recent  but varied works of Crimini e misfatti (1989)  Mariti e mogli (1992)  La dea dell'amore (1995)  Celebrity (1998) and Harry a pezzi (1997); and finally to his films of the last decade  which vary from the light comedy of Scoop (2006)  to the self-destructive darkness of Match Point (2005) and  most recently  to the cinematically beautiful tale of Vicky Cristina Barcelona (2008). Although his stories and style have changed over the years  he is regarded as one of the best filmmakers of our time because of his views on art and his mastery of filmmaking.,1935-12-01,Brooklyn  New York City  New York  USA,,,2,2
nm0000096,Gillian Anderson,Gillian Leigh Anderson,160,Gillian Anderson was born in Chicago  Illinois  to Rosemary Alyce (Lane)  a computer analyst  and Homer Edward Anderson III  who owned a film post-production company. Gillian started her career as a member of an amateur actor group while at high school. In 1987  her love of the theatre took her to the National Theatre of Great Britain Summer Acting Programme held at Cornell University in Ithaca  New York. For several weeks she studied under such NT greats as Peter Chelsom  Bardy Thomas  and Michael Joyce. Afterwards  Anderson returned to the Goodman Theatre School at DePaul University in Chicago  Illinois where she finished her education. Her big break came with X-Files (1993) (with David Duchovny) as Dana Scully. There  she met her future husband (Clyde Klotz)  marrying on January 1st 1994. One month later  Gillian was pregnant. Her daughter  Piper Anderson-Klotz  was born on the 25th September 1994. Her film career started with the movie The Turning (1992) in 1997 and  the following year  she starred in Scherzi del cuore (1998) with Sean Connery  Ellen Burstyn  Angelina Jolie and Dennis Quaid.,1968-08-09,Chicago  Illinois  USA,,,2,1
nm0000098,Jennifer Aniston,Jennifer Joanna Aniston,164,Jennifer Aniston was born in Sherman Oaks  California  to actors John Aniston and Nancy Dow. Her father is Greek  and her mother was of English  Irish  Scottish  and Italian descent. Jennifer spent a year of her childhood living in Greece with her family. Her family then relocated to New York City where her parents divorced when she was nine. Jennifer was raised by her mother and her father landed a role  as "Victor Kiriakis"  on the daytime soap Il tempo della nostra vita (1965). Jennifer had her first taste of acting at age 11 when she joined the Rudolf Steiner School's drama club. It was also at the Rudolf Steiner School that she developed her passion for art. She began her professional training as a drama student at New York's School of Performing Arts  aka the "Fame" school. It was a division of Fiorello H. LaGuardia High School of Music and the Arts. In 1987  after graduation  she appeared in such Off-Broadway productions as "For Dear Life" and "Dancing on Checker's Grave". In 1990  she landed her first television role  as a series regular on Molloy (1990). She also appeared in The Edge (1992)  Ferris Bueller (1990)  and had a recurring part on Ma che ti passa per la testa? (1991). By 1993  she was floundering. Then  in 1994  a pilot called "Friends Like These" came along. Originally asked to audition for the role of "Monica"  Aniston refused and auditioned for the role of "Rachel Green"  the suburban princess turned coffee peddler. With the success of the series Friends (1994)  Jennifer has become famous and sought-after as she turns her fame into movie roles during the series hiatus.,1969-02-11,Sherman Oaks  California  USA,,,1,0
nm0000100,Rowan Atkinson,Rowan Sebastian Atkinson,181,Rowan Sebastian Atkinson was born on 6 January  1955  in Consett  Co. Durham  UK  to Ella May (Bainbridge) and Eric Atkinson. His father owned a farm  where Rowan grew up with his two older brothers  Rupert and Rodney. He attended Newcastle University and Oxford University where he earned degrees in electrical engineering. During that time  he met screenwriter Richard Curtis  with whom he wrote and performed comedy revues.Later  he co-wrote and appeared in Not the Nine O'Clock News (1979)  which was a huge success and spawned several best-selling books. It won an International Emmy Award and the British Academy Award for "Best Light Entertainment Programme of 1980." He won the "British Academy Award" and was named "BBC Personality of the Year" for his performing on Not the Nine O'Clock News (1979).Atkinson also appeared in several movies  including Dead on Time (1983)  Pleasure at Her Majesty's (1976) (aka "Monty Python Meets Beyond the Fringe")  Mai dire mai (1983)  and 2 metri di allergia (1989). He played "Mr. Bean" in the TV series  Mr. Bean (1990) but  apart from that and Not the Nine O'Clock News (1979)  he also appeared in several other series like The Black Adder (1982) and Funny Business (1992)  etc.Atkinson enjoys nothing better than fast cars. He has been married to Sunetra Sastry since 1990  and they have two children  named Benjamin and Lily.,1955-01-06,Consett  County Durham  England  UK,,,1,2
