imdb_title_id,title,year,genre,duration,country,language,production_company,actors,description,avg_vote,votes,budget
tt0000009,Miss Jerry,1894,Romance,45,USA,None,Alexander Black Photoplays,Blanche Bayliss &  William Courtenay &  Chauncey Depew,The adventures of a female reporter in the 1890s.,5.9,154,
tt0000574,The Story of the Kelly Gang,1906,Biography,70,Australia,None,J. and N. Tait,Elizabeth Tait &  John Tait &  Norman Campbell &  Bella Cola &  Will Coyne &  Sam Crewes &  Jack Ennis &  John Forde &  Vera Linden &  Mr. Marshall &  Mr. McKenzie &  Frank Mills &  Ollie Wilson,True story of notorious Australian outlaw Ned Kelly ,6.1,589,  2250
tt0002101,Cleopatra,1912,Drama,100,USA,English,Helen Gardner Picture Players,Helen Gardner &  Pearl Sindelar &  Miss Fielding &  Miss Robson &  Helene Costello &  Charles Sindelar &  Mr. Howard &  James R. Waite &  Mr. Osborne &  Harry Knowles &  Mr. Paul &  Mr. Brady &  Mr. Corker,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,5.2,446,  45000
tt0002199,From the Manger to the Cross; or  Jesus of Nazareth,1912,Biography,60,USA,English,Kalem Company,R. Henderson Bland &  Percy Dyer &  Gene Gauntier &  Alice Hollister &  Samuel Morgan &  James D. Ainsley &  Robert G. Vignola &  George Kellog &  J.P. McGowan,An account of the life of Jesus Christ  based on the books of the New Testament: After Jesus' birth is foretold to his parents  he is born in Bethlehem  and is visited by shepherds and wise...,5.7,484,
tt0002461,Richard III,1912,Drama,55,France &  USA,English,Le Film d'Art,Robert Gemp &  Frederick Warde &  Albert Gardner &  James Keane &  George Moss &  Howard Stuart &  Virginia Rankin &  Violet Stuart &  Carey Lee &  Carlotta De Felice,Richard of Gloucester uses manipulation and murder to gain the English throne.,5.5,225,  30000
tt0003102,Ma l'amor mio non muore...,1914,Drama,90,Italy,Italian,Film Artistica Gloria,Lyda Borelli &  Mario Bonnard &  Gian Paolo Rosmino &  Vittorio Rossi Pianelli &  Dante Cappelli &  Maria Caserini &  Camillo De Riso &  Emilio Petacci &  Antonio Monti &  Letizia Quaranta &  Felice Metellio &  Gentile Miotti,Leslie Swayne  an adventurer  in order to obtain enough money to satisfy the needs of his extravagant life  has been bribed to steal the plans of the fortification from the staff officers ...,6.2,100,
tt0003167,Amore di madre,1914,Drama,55,USA,English,Majestic Motion Picture Company,Henry B. Walthall &  Josephine Crowell &  Lillian Gish &  Dorothy Gish &  Fay Tincher &  Mae Marsh &  Spottiswoode Aitken &  Robert Harron &  Miriam Cooper &  Mary Alden &  Donald Crisp &  James Kirkwood &  Jack Pickford &  Fred Burns &  Courtenay Foote,John Howard Payne at his most miserable point in life  writes a song which becomes popular and inspires other people at some point in their lives.,5.8,187,
tt0003471,Traffic in Souls,1913,Crime,88,USA,English,Independent Moving Pictures Co. of America (IMP),Jane Gail &  Ethel Grandin &  William H. Turner &  Matt Moore &  William Welsh &  Millie Liston &  Irene Wallace &  William Cavanaugh &  Arthur Hunter &  Howard Crampton &  W.H. Bainbridge &  Luray Huntley &  William Powers &  Jack Poulton &  Edward Boring,A woman  with the aid of her police officer sweetheart  endeavors to uncover the prostitution ring that has kidnapped her sister  and the philanthropist who secretly runs it.,6,552,  5700
tt0003637,Assunta Spina,1915,Drama,72,Italy,,Caesar Film,Francesca Bertini &  Gustavo Serena &  Carlo Benetti &  Luciano Albertini &  Amelia Cipriani &  Antonio Cruichi &  Alberto Collo &  Alberto Albertini,Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,6.4,378,
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,Crime,78,USA,English,Majestic Motion Picture Company,Henry B. Walthall &  Spottiswoode Aitken &  Blanche Sweet &  George Siegmann &  Ralph Lewis &  Mae Marsh &  Robert Harron &  George Beranger,Prevented from dating his sweetheart by his uncle  a young man turns his thoughts to murder.,6.4,1105,
tt0003657,The Bargain,1914,Western,70,USA,English,New York Motion Picture,William S. Hart &  J. Frank Burke &  Clara Williams &  J. Barney Sherry &  Joseph J. Dowling,After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch  he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...,6.5,144,
tt0003740,Cabiria,1914,Adventure,148,Italy,Italian,Itala Film,Carolina Catena &  Lidia Quaranta &  Gina Marangoni &  Dante Testa &  Umberto Mozzato &  Bartolomeo Pagano &  Raffaele di Napoli &  Emilio Vardannes &  Edoardo Davesnes &  Italia Almirante-Manzini &  Alex Bernard &  Luigi Chellini &  Vitale Di Stefano &  Enrico Gemelli &  Ignazio Lupi,Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple  is saved by Fulvio  a Roman spy. But danger lurks  and hatred between Rome and Carthage can only lead to war.,7.1,3073,  210000
tt0003772,Cinderella,1914,Fantasy,52,USA,English,Famous Players Film Company,Mary Pickford &  Owen Moore &  Isabel Vernon &  Georgia Wilson &  Lucille Carney &  W.N. Cone &  Inez Ranous,Though mistreated by her cruel stepmother and stepsisters  Cinderella is able to attend the royal ball through the help of a fairy godmother.,6,929,
tt0004099,His Majesty  the Scarecrow of Oz,1914,Family,59,USA,English,The Oz Film Manufacturing Company,Violet MacMillan &  Frank Moore &  Pierre Couderc &  Fred Woodward &  Raymond Russell &  Arthur Smollet &  J. Charles Haydon &  Todd Wright &  Vivian Reed &  Mai Wells &  Mildred Harris &  Louise Emmons &  Jacqueline Lovell,A wicked king has taken over the Emerald City  and wants his daughter  Princess Gloria  to marry the horrid courtier Googly-Goo  though she loves Pon  the Gardener's Boy. The camera now ...,5.2,415,  23500
tt0004134,Hypocrites,1915,Drama,54,USA,English,Hobart Bosworth Productions,Courtenay Foote &  Myrtle Stedman &  Herbert Standing &  Adele Farrington,The parallel stories of a modern preacher and a medieval monk  Gabriel the Ascetic  who is killed by an ignorant mob for making a nude statue representing Truth  which is also represented by a ghostly naked girl who flits throughout the film.,6.6,456,
tt0004150,In the Land of the Head Hunters,1914,Drama,65,USA &  Canada,English,Seattle Film Co.,Stanley Hunt &  Sarah Constance Smith Hunt &  Mrs. George Walkus &  Paddy 'Malid &  Balutsa &  Kwagwanu &  Francine Hunt &  Bob Wilson &  Awidi &  Alfred Charlie,In 1911  as part of his massive undertaking  famed Northwest photographer Edward S. Curtis travelled to Vancouver Island  British Columbia  to visit the Kwakwaka'wakw. By the next year  ...,5.8,402,
tt0004181,Judith of Bethulia,1914,Drama,61,USA,English,Biograph Company,Blanche Sweet &  Henry B. Walthall &  Mae Marsh &  Robert Harron &  Kate Bruce &  Lillian Gish &  J. Jiquel Lanoe &  Gertrude Bambrick &  Dorothy Gish &  Harry Carey,A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader  but her plans get complicated once she falls for him.,6.1,1239,  40000
tt0004457,The Patchwork Girl of Oz,1914,Adventure,81,USA,English,The Oz Film Manufacturing Company,Violet MacMillan &  Frank Moore &  Raymond Russell &  Leontine Dranet &  Bobbie Gould &  Marie Wayne &  Richard Rosson &  Frank Bristol &  Fred Woodward &  Todd Wright &  Bert Glennon &  Hal Roach &  Dave Anderson &  Jessie May Walsh &  William Cook,Ojo and Unc Nunkie are out of food  so they decide to journey to the Emerald City where they will never starve. Along the way  they meet Mewel  a waif and stray (mule) who leads them to Dr....,5.5,382,
tt0004681,La madonnina del porto,1914,Drama,80,USA,English,Famous Players Film Company,Mary Pickford &  Harold Lockwood &  Olive Carey &  David Hartford &  Louise Dunlap &  William Walters &  Richard Garrick &  Eugene Walter &  Jack Henry &  H.R. Macy &  H.L. Griffith,A wealthy resident attempts to dispossess squatters who live near his home  which leads to a false accusation of murder.,6.1,178,  10000
tt0004707,Tillie's Punctured Romance,1914,Comedy,82,USA,None &  English,Keystone Film Company,Marie Dressler &  Charles Chaplin &  Mabel Normand &  Mack Swain &  Charles Bennett &  Chester Conklin,A con man from the city dupes a wealthy country girl into marriage.,6.3,3250,  50000
