imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating
tt0000009,5.9,154,5.9,6.0,7.2,4.0,6.0,38.0,5.7,50.0,6.6,6.6,35.0,6.2,97.0,7.0,1.0,5.9,24.0,5.6,36.0,6.7,31.0,6.0,35.0,7.3,3.0,5.9,14.0,5.7,13.0,4.5,4.0,5.7,34.0,6.4
tt0000574,6.1,589,6.3,6.0,6.0,1.0,6.1,114.0,6.0,239.0,6.3,6.3,115.0,6.1,425.0,6.0,1.0,6.2,102.0,6.0,210.0,6.2,100.0,6.2,50.0,,,5.9,12.0,6.2,23.0,6.6,14.0,6.4,66.0,6.0
tt0001892,5.8,188,6.0,6.0,,,5.5,25.0,5.8,72.0,6.2,6.2,62.0,5.9,146.0,,,5.5,21.0,5.9,67.0,6.2,55.0,5.7,15.0,,,5.8,4.0,5.8,4.0,6.8,7.0,5.4,32.0,6.2
tt0002101,5.2,446,5.3,5.0,,,5.3,23.0,5.0,111.0,5.3,5.3,193.0,5.1,299.0,,,5.2,20.0,4.9,96.0,5.2,171.0,5.9,39.0,,,5.7,3.0,5.5,14.0,6.1,21.0,4.9,57.0,5.5
tt0002130,7.0,2237,6.9,7.0,7.5,4.0,7.0,402.0,7.0,895.0,7.1,7.1,482.0,7.0,1607.0,8.0,2.0,7.0,346.0,7.0,804.0,7.0,396.0,7.2,215.0,7.0,2.0,7.0,52.0,7.3,82.0,7.4,77.0,6.9,139.0,7.0
tt0002199,5.7,484,5.8,6.0,,,5.6,35.0,5.6,177.0,5.8,5.8,168.0,5.7,354.0,,,5.6,32.0,5.7,159.0,5.8,151.0,5.8,31.0,,,6.3,3.0,5.1,13.0,6.5,15.0,5.5,67.0,5.9
tt0002423,6.8,753,6.8,7.0,3.0,1.0,6.4,59.0,6.7,287.0,7.0,7.0,276.0,6.6,530.0,3.0,1.0,6.4,41.0,6.6,240.0,6.8,238.0,7.4,93.0,,,6.5,16.0,7.2,40.0,8.2,34.0,6.2,88.0,6.6
tt0002445,6.2,273,6.2,6.0,6.0,1.0,5.9,34.0,6.2,99.0,6.3,6.3,69.0,6.2,191.0,6.0,1.0,5.8,29.0,6.2,85.0,6.3,64.0,6.3,21.0,,,6.5,5.0,6.3,11.0,6.2,5.0,5.7,41.0,5.8
tt0002452,6.7,198,7.1,7.0,,,7.4,28.0,6.7,104.0,6.5,6.5,39.0,6.7,153.0,,,7.3,24.0,6.6,92.0,6.5,33.0,7.0,19.0,,,8.3,3.0,6.8,10.0,6.8,6.0,5.4,25.0,6.7
tt0002461,5.5,225,5.4,6.0,,,5.9,11.0,5.3,95.0,5.8,5.8,72.0,5.5,168.0,,,5.9,11.0,5.2,88.0,5.8,63.0,7.7,15.0,,,,,7.2,6.0,9.7,9.0,5.4,37.0,5.8
tt0002646,6.6,331,6.6,7.0,,,6.3,31.0,6.6,125.0,6.8,6.8,100.0,6.5,232.0,,,6.3,26.0,6.5,110.0,6.7,85.0,7.1,34.0,,,6.1,5.0,6.6,13.0,7.8,15.0,6.3,39.0,6.9
tt0002844,7.0,1944,6.6,7.0,8.0,3.0,6.9,216.0,6.9,865.0,7.1,7.1,582.0,6.9,1441.0,8.0,3.0,6.8,181.0,6.9,752.0,7.0,481.0,7.4,233.0,,,7.4,32.0,7.3,102.0,7.9,97.0,6.8,113.0,7.0
